Date,AIWFC,Christmas,MariahCarey,Memes,Days,Days_Sin,Days_Cos,Days_SinCos,Days_Sin2,Days_Cos2,iter1,final_pred
2020-02-09,2,1,16,85,455,0.9997685019798909,0.021516097436222723,0.02151111650226576,0.999537057551115,0.00046294244888503,0.7836819897107962,21.029337833611564
2020-02-16,2,1,18,72,462,0.9951053111006976,-0.09882013873287163,-0.0983364448967883,0.9902345801808161,0.009765419819183996,0.9936364891864036,18.593235438834746
2020-02-23,2,1,17,77,469,0.9760105506323685,-0.21772323039653088,-0.21250016998477614,0.9525965949456991,0.04740340505430087,1.0544702250209828,16.48952982603198
2020-03-01,1,1,16,77,476,0.942761143390421,-0.33346877891818577,-0.31438140729791636,0.888798573486814,0.11120142651318586,1.1032049462590083,14.782980124327283
2020-03-08,1,1,13,87,483,0.8958392907349094,-0.44437817810461216,-0.398091431891307,0.8025280348244256,0.19747196517557442,0.9771849665778074,13.514246289940013
2020-03-15,1,1,14,100,490,0.8359254794186368,-0.5488429582847194,-0.45879181302969696,0.6987714071412778,0.3012285928587222,1.1162279471491852,12.698474034337503
2020-03-22,1,1,21,99,497,0.7638886127905427,-0.6453481132295503,-0.49297407498191526,0.5835258127510596,0.41647418724894053,1.7193858755440317,12.325345307305389
2020-03-29,1,1,26,97,504,0.6807734094770164,-0.7324940716135787,-0.49866248655407774,0.4634524350509614,0.5365475649490385,2.1158842586545,12.360568977041057
2020-04-05,1,1,17,94,511,0.5877852522924734,-0.8090169943749472,-0.4755282581475769,0.34549150281252655,0.6545084971874734,1.3371257598226587,12.748705119334199
2020-04-12,2,1,18,91,518,0.4862727071086906,-0.8738071036110805,-0.4249085457637642,0.23646114567881438,0.7635388543211855,1.3411092769357058,13.41714204922419
2020-04-19,1,1,15,82,525,0.37770796520396555,-0.9259247771938496,-0.34972916352582406,0.14266330697852006,0.85733669302148,1.0468352006253254,14.280981998723155
2020-04-26,1,1,15,80,532,0.26366549272800816,-0.9646141756912432,-0.25433547192605305,0.06951949205550333,0.9304805079444965,0.9775386230070366,15.248542593106773
2020-05-03,1,1,16,79,539,0.14579919691987403,-0.9893142039703664,-0.14424121644030388,0.021257405822480206,0.9787425941775197,0.9770307265699502,16.2271495861576
2020-05-10,1,1,16,75,546,0.02581844022713244,-0.9996666485105112,-0.025809833611626448,0.0006665918557620105,0.999333408144238,0.9230295542747237,17.128883279828095
2020-05-17,1,1,16,71,553,-0.09453674981719774,-0.9955213724144754,0.0941133549216206,0.008937197065999438,0.9910628029340005,0.8820751027218463,17.875947215799474
2020-05-24,1,2,14,69,560,-0.2135209154397961,-0.9769384927771817,0.20859680130615846,0.04559118133024855,0.9544088186697515,0.7476619497214985,18.405352549341625
2020-05-31,1,1,13,69,567,-0.32940848222452995,-0.9441875088341994,0.3110233742204336,0.10850994816146847,0.8914900518385315,0.6825950524877329,18.67265343008077
2020-06-07,2,1,19,67,574,-0.4405187843504946,-0.8977433935342339,0.3954728283783884,0.19405679936563755,0.8059432006343624,0.9961809232098235,18.654525214704893
2020-06-14,1,2,15,65,581,-0.5452404385406505,-0.8382797052177746,0.4570639940926667,0.2972871358200009,0.7027128641799991,0.7976370255848414,18.350045131129487
2020-06-21,2,2,15,69,588,-0.6420547132365644,-0.7666588193001584,0.4922369083760463,0.41223425478928694,0.587765745210713,0.8213310539144179,17.780610212579475
2020-06-28,1,2,13,68,595,-0.7295575540864868,-0.6839194216246113,0.49895858043269614,0.5322542247246571,0.46774577527534283,0.7434042725898322,16.98850565648455
2020-07-05,1,2,15,65,602,-0.806479946320944,-0.5912614448635792,0.4768404983152232,0.6504099038178327,0.34959009618216735,0.9069536190424757,16.034213831242305
2020-07-12,1,2,21,65,609,-0.871706318709322,-0.49002866642905885,0.4271610848749132,0.7598719060777581,0.24012809392224183,1.3552818280077805,14.992625652745335
2020-07-19,2,2,16,66,616,-0.9242907221930933,-0.3816892202666588,0.3527918050535887,0.85431333913223,0.14568666086777,1.107830230048268,13.948378021432186
